City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
133,minas de marcona,-15.2119,-75.1103,15.15,75,86,8.96,PE,1694624949
134,tokar,18.4254,37.729,33.39,51,21,5.17,SD,1694624950
135,kidal,18.4411,1.4078,39.47,14,32,1.3,ML,1694624950
136,labrador city,52.9463,-66.9114,11.7,85,100,3.02,CA,1694624950
137,floro,61.5996,5.0328,11.98,58,20,5.66,NO,1694624951
138,greymouth,-42.4667,171.2,9.51,82,91,3.56,NZ,1694624951
139,susuman,62.7833,148.1667,3.27,99,100,1.47,RU,1694624951
140,enewetak,11.3474,162.3373,28.97,78,57,8.43,MH,1694624951
141,balaipungut,1.05,101.2833,24.39,80,84,1.43,ID,1694624952
142,margaret river,-33.95,115.0667,13.31,55,100,9.52,AU,1694624952
143,port lincoln,-34.7333,135.8667,19.1,32,100,6.74,AU,1694624952
144,fort mcmurray,56.7268,-111.381,15.77,72,75,4.63,CA,1694624406
145,strelka,58.0728,93.0344,9.2,78,28,0.59,RU,1694624953
146,alice springs,-23.7,133.8833,9.75,34,17,0.0,AU,1694624953
147,gamay,12.3854,125.2979,24.84,91,98,1.89,PH,1694624953
148,torghay,49.6339,63.4981,15.82,55,99,2.53,KZ,1694624953
149,kasamwa,-2.85,32.4333,22.91,67,97,1.53,TZ,1694624953
150,ponta delgada,37.7333,-25.6667,24.4,78,20,3.6,PT,1694624954
151,lihue,21.9789,-159.3672,23.77,90,20,5.66,US,1694624954
152,al kharijah,25.4514,30.5464,31.23,31,0,4.6,EG,1694624954
153,ust-nera,64.5667,143.2,4.08,99,100,0.74,RU,1694624955
154,anadyr,64.75,177.4833,2.28,100,20,1.0,RU,1694624955
155,carloforte,39.145,8.3058,24.67,73,97,4.63,IT,1694624955
156,kavieng,-2.5744,150.7967,26.59,81,100,3.34,PG,1694624955
157,zharkent,44.1628,80.0,17.64,63,100,1.94,KZ,1694624956
158,karratha,-20.7377,116.8463,22.38,64,5,6.12,AU,1694624956
159,qamdo,31.1667,97.2333,2.07,49,0,0.95,CN,1694624956
160,cabo san lucas,22.8909,-109.9124,35.34,66,0,4.12,MX,1694624742
161,st. john's,47.5649,-52.7093,18.71,89,95,1.34,CA,1694624884
162,hobyo,5.3505,48.5268,25.56,84,22,11.74,SO,1694624957
163,emerald,-23.5333,148.1667,13.71,79,0,2.46,AU,1694624957
164,queenstown,-31.8976,26.8753,17.63,28,1,3.97,ZA,1694624957
165,auki,-8.7676,160.7034,24.11,91,100,2.05,SB,1694624957
166,la'ie,21.6477,-157.9253,26.98,85,41,2.68,US,1694624958
167,tahe,52.3333,124.7333,4.25,95,30,1.47,CN,1694624958
168,miastko,54.0028,16.9826,16.05,91,82,7.07,PL,1694624958
169,borogontsy,62.6683,131.1683,5.02,82,88,1.71,RU,1694624959
170,melekeok village,7.4957,134.6367,27.31,83,75,2.57,PW,1694624959
171,panama city beach,30.1766,-85.8055,32.07,68,75,2.06,US,1694624959
172,luanda,-8.8368,13.2343,24.0,69,75,3.09,AO,1694624666
173,whitehorse,60.7161,-135.0538,8.23,65,89,4.02,CA,1694624959
174,acarau,-2.8856,-40.12,31.32,55,2,9.38,BR,1694624960
175,bandarbeyla,9.4942,50.8122,25.53,82,10,14.81,SO,1694624961
176,valle de la pascua,9.2155,-66.0073,34.37,45,28,2.31,VE,1694624961
177,port douglas,-16.4833,145.4667,21.97,65,100,8.7,AU,1694624962
178,niafunke,15.9322,-3.9906,40.94,18,69,5.24,ML,1694624962
179,fallon,39.4735,-118.7774,23.93,33,20,4.63,US,1694624963
180,kuta,-8.7233,115.1723,25.97,88,40,6.26,ID,1694624963
181,nyagan,62.1406,65.3936,12.45,65,27,1.89,RU,1694624963
182,fuengirola,36.54,-4.6247,26.58,69,0,4.12,ES,1694624963
183,seririt,-8.1928,114.9388,23.2,91,40,2.24,ID,1694624967
184,claremont,34.0967,-117.7198,26.7,76,100,3.09,US,1694624969
185,tosontsengel,48.7567,98.2839,9.75,79,100,1.7,MN,1694624976
186,nema,57.5067,50.5011,13.34,69,24,0.29,RU,1694624981
187,la gi,10.6667,107.7833,25.78,85,99,3.98,VN,1694624981
188,mathba,22.2855,89.9629,27.26,88,100,5.62,BD,1694624982
189,sultanah,24.4926,39.5857,39.25,8,0,4.63,SA,1694624982
190,levuka,50.1834,-105.4011,21.53,42,100,4.85,CA,1694624982
191,el bolson,-41.9667,-71.5167,7.97,79,100,2.85,AR,1694624982
192,conduaga,8.862,117.4893,25.06,82,92,0.66,PH,1694624983
193,ixtapa,20.7,-105.2,32.35,66,20,1.79,MX,1694624983
194,alvaraes,-3.2208,-64.8042,33.93,31,38,2.45,BR,1694624983
195,palu,-0.8917,119.8707,22.99,87,83,1.67,ID,1694624983
196,san patricio,28.017,-97.5169,33.97,46,16,0.47,US,1694624984
197,sierra grande,-41.606,-65.3557,16.71,23,3,4.38,AR,1694624984
198,sampit,-2.5333,112.95,23.51,93,71,1.15,ID,1694624984
199,bodaybo,57.8506,114.1933,8.05,96,100,3.22,RU,1694624984
200,angaur state,6.906,134.13,27.71,76,91,4.37,PW,1694624985
201,ghat,24.9647,10.1728,34.27,12,0,2.51,LY,1694624985
202,souillac,-20.5167,57.5167,22.51,74,16,4.53,MU,1694624985
203,knysna,-34.0363,23.0471,15.75,48,63,2.83,ZA,1694624985
204,ibirapitanga,-14.1642,-39.3736,29.93,41,13,3.5,BR,1694624986
205,kastsyukovichy,53.3516,32.0506,14.62,57,61,3.52,BY,1694624986
206,klyuchi,52.2667,79.1667,12.34,85,97,2.11,RU,1694624986
207,yershovo,56.4,46.85,17.45,62,93,1.51,RU,1694624986
208,san jeronimo de juarez,17.1333,-100.4667,31.16,69,23,2.2,MX,1694624987
209,tangalle,6.024,80.7911,25.32,88,70,4.07,LK,1694624966
210,semnan,35.5729,53.3971,24.86,36,0,4.26,IR,1694624987
211,luderitz,-26.6481,15.1594,15.14,69,0,6.37,NA,1694624987
212,georgetown,5.4112,100.3354,27.96,83,20,1.54,MY,1694624839
213,kavaratti,10.5669,72.642,28.28,78,67,6.27,IN,1694624988
214,veinticinco de mayo,-35.4323,-60.1727,17.82,30,3,1.91,AR,1694624988
215,port saint john's,-31.6229,29.5448,18.61,69,0,9.25,ZA,1694624988
216,salanso,12.1833,-4.0833,32.14,54,100,2.14,BF,1694624988
217,thompson,55.7435,-97.8558,18.91,48,96,4.01,CA,1694624989
218,santyoku,37.4406,129.1708,20.43,95,100,2.09,KR,1694624989
219,pindiga,9.9833,10.9333,28.69,59,66,2.41,NG,1694624989
220,bila tserkva,49.8094,30.1121,22.45,33,29,1.64,UA,1694624990
221,arendal,58.4615,8.7725,14.89,57,0,2.22,NO,1694624990
222,ha tinh,18.3333,105.9,24.37,97,100,2.44,VN,1694624990
223,the pas,53.8251,-101.2541,19.89,45,100,4.81,CA,1694624990
224,papatowai,-46.5619,169.4708,10.58,71,100,7.75,NZ,1694624991
225,mapastepec,15.4333,-92.9,32.22,63,99,2.21,MX,1694624991
226,mazamitla,19.9167,-103.0333,21.5,50,90,1.3,MX,1694624991
227,magong,23.5654,119.5863,27.31,77,86,2.48,TW,1694624991
228,bridgewater,44.3835,-64.5155,23.39,97,100,3.6,CA,1694624790
229,qaqortoq,60.7167,-46.0333,5.36,51,11,3.42,GL,1694624992
230,springbok,-29.6643,17.8865,13.77,27,24,2.69,ZA,1694624992
231,minas novas,-17.2186,-42.5903,32.44,27,5,2.7,BR,1694624919
232,yinzhu,35.8786,119.9753,19.94,77,0,2.52,CN,1694624992
233,mrakovo,52.7161,56.6244,11.22,69,81,0.59,RU,1694624993
234,qandala,11.472,49.8728,32.52,60,38,2.72,SO,1694624993
235,cestos city,5.46,-9.5828,25.29,89,100,4.63,LR,1694624993
236,mount pearl,47.5166,-52.7813,18.25,89,99,1.34,CA,1694624993
237,sur,22.5667,59.5289,30.39,64,8,5.43,OM,1694624994
238,pangody,65.85,74.4859,12.38,73,7,4.47,RU,1694624994
239,abepura,-2.6333,140.5833,25.45,83,20,1.03,ID,1694624994
240,dorado,18.4588,-66.2677,36.21,59,75,5.66,PR,1694624994
241,cabedelo,-6.9811,-34.8339,27.37,74,36,8.03,BR,1694624732
242,an nuhud,12.7,28.4333,32.2,39,58,4.59,SD,1694624995
243,saldanha,-33.0117,17.9442,12.97,74,0,6.32,ZA,1694624995
244,bestobe,52.4994,73.0975,11.15,83,83,4.43,KZ,1694624995
245,nova sintra,14.8667,-24.7167,25.04,76,86,5.94,CV,1694624996
246,colonia,50.9333,6.95,18.66,79,100,3.09,DE,1694624761
247,aasiaat,68.7098,-52.8699,5.15,72,100,7.7,GL,1694624996
248,tiquipaya,-17.3382,-66.2189,24.43,10,88,2.24,BO,1694624996
249,qarah bagh,34.9402,61.7759,20.86,29,0,7.84,AF,1694624996
250,calvinia,-31.4707,19.776,14.48,26,28,3.47,ZA,1694624997
251,papao,-17.75,-149.55,23.82,75,98,11.93,PF,1694624997
252,lodja,-3.4833,23.4333,27.31,61,53,0.7,CD,1694624997
253,antofagasta,-23.65,-70.4,20.57,58,0,6.07,CL,1694624997
254,kovalam,8.3667,76.9967,26.05,89,75,1.54,IN,1694624997
255,machico,32.7,-16.7667,26.51,68,20,4.12,PT,1694624998
256,new plymouth,-39.0667,174.0833,9.06,68,59,7.03,NZ,1694624998
257,caleta de carquin,-11.0925,-77.6267,20.08,77,66,4.7,PE,1694624998
258,ulcinj,41.9294,19.2244,28.12,58,57,0.51,ME,1694624998
259,driefontein,-27.0177,30.4498,10.01,64,0,2.47,ZA,1694624999
260,gounou gaya,9.6294,15.5132,21.17,98,91,2.29,TD,1694624999
261,chibougamau,49.9168,-74.3659,17.79,77,100,5.14,CA,1694624999
262,choconta,5.1447,-73.6858,20.63,47,13,4.73,CO,1694625000
263,bati,11.1833,40.0167,24.79,38,94,3.05,ET,1694625000
264,lop buri,14.7981,100.654,23.79,96,100,2.26,TH,1694625000
265,mamuju,-2.6748,118.8885,24.83,86,45,1.14,ID,1694625001
266,tromso,69.6496,18.957,6.01,81,100,3.6,NO,1694625002
267,saynshand,44.8824,110.1163,21.34,28,98,3.59,MN,1694625004
268,lang son,21.8333,106.7333,21.27,98,100,1.94,VN,1694625005
269,betio village,1.358,172.9211,26.02,75,44,2.99,KI,1694625005
270,bemidji,47.4736,-94.8803,16.7,62,40,3.09,US,1694625005
271,hasaki,35.7333,140.8333,25.16,90,10,2.78,JP,1694625006
272,las tablas,7.7667,-80.2833,28.23,77,99,2.8,PA,1694625006
273,cerro de pasco,-10.6833,-76.2667,8.19,59,91,4.81,PE,1694625006
274,dubna,56.7333,37.1667,13.01,69,31,2.0,RU,1694625006
275,weno,7.4515,151.8468,28.5,76,69,4.06,FM,1694625007
